327,31,14,12,79,19,10,19,18,15
366,65,17,16,64,16,10,20,16,32
310,41,20,16,71,29,15,22,25,30
344,50,24,17,63,25,18,23,27,34
272,32,12,15,76,22,16,18,22,20
524,72,19,16,68,22,10,22,20,47
405,68,22,18,76,16,11,21,16,19
402,43,22,19,107,33,16,27,27,24
427,62,27,20,95,32,15,27,30,46
510,51,28,21,140,33,16,29,30,33
386,69,23,25,104,39,22,24,35,42
519,82,29,21,111,27,15,30,26,51
486,40,23,17,167,40,16,28,32,22
479,38,25,21,195,45,19,30,36,18
605,52,31,21,193,39,17,36,35,28
530,76,31,27,110,32,19,32,34,57
536,56,27,22,143,33,16,33,30,26
496,31,23,19,196,31,17,28,30,10
627,42,30,18,215,41,14,37,40,26
594,62,32,25,153,35,20,42,36,30
