995,120,49,45,332,59,36,51,56,37
978,112,40,39,381,45,31,46,42,17
787,97,42,43,263,68,40,53,59,50
955,94,45,41,383,53,37,51,55,30
805,99,47,39,211,47,29,56,49,36
997,131,53,50,251,51,38,65,54,29
943,101,39,39,330,42,31,46,43,21
894,106,39,45,361,42,36,49,46,17
1000,108,47,43,310,50,36,60,52,26
885,86,46,39,303,60,34,54,58,32
688,92,35,38,214,52,39,39,49,46
904,118,45,44,283,55,36,54,56,40
537,60,29,27,158,42,20,38,38,38
881,69,44,34,309,53,30,56,51,25
870,103,43,41,302,58,35,53,58,38
707,87,38,34,201,47,29,47,49,39
854,110,47,42,258,62,33,53,61,58
877,115,51,46,287,64,37,56,64,61
820,117,41,43,274,42,34,46,46,32
284,17,17,10,103,18,9,19,20,7
943,157,49,54,235,57,43,63,65,67
897,129,44,50,277,48,41,53,51,30
957,107,46,40,316,53,37,58,56,27
944,108,44,43,313,55,34,58,57,34
327,31,14,12,79,19,10,19,18,15
953,108,49,41,281,53,33,61,60,42
827,116,44,42,232,58,35,54,60,71
944,137,44,49,284,45,37,58,49,32
821,115,48,37,232,62,29,54,62,72
774,75,36,33,273,44,27,47,49,23
941,113,50,45,309,76,40,53,66,43
936,96,43,38,375,53,32,44,48,30
288,17,15,10,103,16,9,18,15,6
891,109,42,44,317,57,40,57,56,34
780,60,41,35,339,64,39,50,65,30
987,116,44,42,357,56,40,51,56,43
854,58,43,32,311,48,27,56,53,15
350,64,21,22,76,31,20,24,32,50
899,86,46,40,336,60,34,57,59,28
963,127,42,43,262,52,33,62,55,41
910,116,47,43,262,59,34,59,58,43
876,103,47,41,254,63,33,55,58,40
885,79,44,35,318,56,31,56,54,21
998,88,42,30,413,63,29,45,60,29
835,69,41,36,317,45,31,53,49,18
799,91,40,35,289,62,38,45,64,34
926,90,55,46,274,58,37,64,61,35
910,87,55,44,252,57,32,68,57,36
733,66,33,29,282,58,32,48,56,29
435,68,26,25,103,38,28,29,42,60
865,94,38,38,344,56,34,50,55,33
1052,68,40,27,448,50,26,50,51,24
910,132,48,49,260,56,40,58,57,50
710,78,38,29,220,44,22,45,44,37
885,97,38,37,311,45,26,49,42,28
794,87,45,35,292,68,28,45,59,49
847,69,39,29,317,53,23,49,51,33
779,92,45,38,225,60,33,52,57,44
757,81,49,38,239,60,35,57,60,47
956,87,38,32,379,46,28,49,47,21
735,84,50,44,220,64,38,51,63,56
975,96,49,44,304,54,34,60,55,29
843,108,43,40,247,55,33,56,61,56
949,74,44,36,377,54,31,54,56,27
505,73,31,23,123,34,18,34,34,59
880,93,46,43,256,48,32,58,49,23
934,101,44,40,339,55,33,56,56,31
676,54,35,23,231,58,23,45,53,40
878,92,49,40,266,64,34,59,62,36
860,120,45,46,253,51,34,54,54,53
1011,119,52,50,292,48,40,62,49,24
913,80,48,39,355,82,37,48,72,34
947,123,44,49,270,48,39,62,54,29
820,100,42,43,298,58,40,46,54,35
899,85,43,39,338,49,31,55,50,30
798,78,38,33,267,34,24,45,36,19
876,92,44,41,317,49,30,52,51,30
1014,112,50,46,343,52,37,57,55,28
988,106,48,46,293,51,34,60,50,26
952,110,44,44,354,58,36,46,54,30
933,101,48,45,273,53,38,63,56,29
1016,84,46,40,380,56,35,58,57,19
